ets,iso,co2_2019_mt,abate_share,abate_mt
50,IE,3.304912457,0.04597998906316869,0.15195983862758997
50,IS,0.516600534,0.04597998906316869,0.023753286903347104
50,IT,15.106921478,0.04597998906316869,0.6946160843365882
50,LI,1.767e-06,0.04597998906316869,8.124664067461908e-08
50,LT,0.393580497,0.04597998906316869,0.018096826947536497
50,LU,1.772959277,0.04597998906316869,0.08152064816590347
50,LV,0.494257553,0.04597998906316869,0.02272595688132852
50,MT,0.5182756660000001,0.04597998906316869,0.023830309454386474
50,NL,11.144285299,0.04597998906316869,0.5124141161648517
50,NO,3.113181945,0.04597998906316869,0.14314407178275423
50,PL,3.266972499,0.04597998906316869,0.15021535977369288
50,PT,5.256608541,0.04597998906316869,0.24169880322453915
50,RO,1.4745418529999998,0.04597998906316869,0.06779941827412449
50,SE,3.234225659,0.04597998906316869,0.14870966042863953
50,SI,0.11661393099999999,0.04597998906316869,0.005361907271993108
50,SK,0.190339292,0.04597998906316869,0.008751798564451272
75,AT,3.114972593,0.07174322505579989,0.22347817978224754
75,BE,4.879818683,0.07174322505579989,0.350093930005966
75,BG,0.799939346,0.07174322505579989,0.05739022853106738
75,CH,5.823362078,0.07174322505579989,0.41778677614336446
75,CY,1.051496169,0.07174322505579989,0.07543772629787839
75,CZ,1.43947165,0.07174322505579989,0.10327233854739361
75,DE,31.089433908,0.07174322505579989,2.23045625371906
75,DK,3.1007603390000003,0.07174322505579989,0.22245854684497537
75,EE,0.210027185,0.07174322505579989,0.015068027601291119
75,EL,4.430024401,0.07174322505579989,0.31782423760362805
75,ES,22.036524182999997,0.07174322505579989,1.5809713139085455
75,FI,2.675334307,0.07174322505579989,0.19193711128660343
75,FR,22.402052039,0.07174322505579989,1.6071954611457178
75,GB,37.299134185999996,0.07174322505579989,2.675960178292677
75,HR,0.7095893449999999,0.07174322505579989,0.05090822807553262
75,HU,1.102381928,0.07174322505579989,0.07908843475795059
75,IE,3.304912457,0.07174322505579989,0.23710507819226756
75,IS,0.516600534,0.07174322505579989,0.0370625883747084
75,IT,15.106921478,0.07174322505579989,1.083819267496451
75,LI,1.767e-06,0.07174322505579989,1.267702786735984e-07
75,LT,0.393580497,0.07174322505579989,0.02823673417384457
75,LU,1.772959277,0.07174322505579989,0.12719781642457925
75,LV,0.494257553,0.07174322505579989,0.03545963086040794
75,MT,0.5182756660000001,0.07174322505579989,0.03718276774678258
75,NL,11.144285299,0.07174322505579989,0.7995269682921992
75,NO,3.113181945,0.07174322505579989,0.22334971291978784
75,PL,3.266972499,0.07174322505579989,0.23438314324686596
75,PT,5.256608541,0.07174322505579989,0.3771260495872029
75,RO,1.4745418529999998,0.07174322505579989,0.10578838801397518
75,SE,3.234225659,0.07174322505579989,0.23203377933487968
75,SI,0.11661393099999999,0.07174322505579989,0.008366259496374519
75,SK,0.190339292,0.07174322505579989,0.01365555466291761
100,AT,3.114972593,0.08959948475367141,0.2790999393546078
100,BE,4.879818683,0.08959948475367141,0.43722923968813937
100,BG,0.799939346,0.08959948475367141,0.07167415323578888
100,CH,5.823362078,0.08959948475367141,0.5217702417228692
100,CY,1.051496169,0.08959948475367141,0.0942135149628594
100,CZ,1.43947165,0.08959948475367141,0.12897591815751722
100,DE,31.089433908,0.08959948475367141,2.785597259440121
100,DK,3.1007603390000003,0.08959948475367141,0.2778265287190195
100,EE,0.210027185,0.08959948475367141,0.018818327560264025
100,EL,4.430024401,0.08959948475367141,0.3969279037757918
100,ES,22.036524182999997,0.08959948475367141,1.9744612125586196
100,FI,2.675334307,0.08959948475367141,0.23970857545102056
100,FR,22.402052039,0.08959948475367141,2.007212320119334
100,GB,37.299134185999996,0.08959948475367141,3.341983204823651
100,HR,0.7095893449999999,0.08959948475367141,0.06357883969869517
100,HU,1.102381928,0.08959948475367141,0.0987728527505589
100,IE,3.304912457,0.08959948475367141,0.2961184533031902
100,IS,0.516600534,0.08959948475367141,0.0462871416698715
100,IT,15.106921478,0.08959948475367141,1.3535723806429723
100,LI,1.767e-06,0.08959948475367141,1.5832228955973737e-07
100,LT,0.393580497,0.08959948475367141,0.03526460974029391
100,LU,1.772959277,0.08959948475367141,0.1588562377084418
100,LV,0.494257553,0.08959948475367141,0.04428522208441044
100,MT,0.5182756660000001,0.08959948475367141,0.0464372326339659
100,NL,11.144285299,0.08959948475367141,0.9985222207383149
100,NO,3.113181945,0.08959948475367141,0.2789394982164326
100,PL,3.266972499,0.08959948475367141,0.2927190526148143
100,PT,5.256608541,0.08959948475367141,0.47098941682534845
100,RO,1.4745418529999998,0.08959948475367141,0.13211819027652388
100,SE,3.234225659,0.08959948475367141,0.28978495262350334
100,SI,0.11661393099999999,0.08959948475367141,0.01044854813270019
100,SK,0.190339292,0.08959948475367141,0.01705430249157861
150,AT,3.114972593,0.11418477966700546,0.3556824592004657
150,BE,4.879818683,0.11418477966700546,0.5572010211332917
150,BG,0.799939346,0.11418477966700546,0.09134089796997845
150,CH,5.823362078,0.11418477966700546,0.6649393157976251
150,CY,1.051496169,0.11418477966700546,0.12006485837796534
