iso,YEAR,CO2_t,flights,months_obs,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did,year_x,gdp_pc,air_psgr,air_freight,tourism,ets_eur
CY,2021,623590.6947,27231,12,1,22.900029183650986,13.343249494149358,10.212111309194738,3.1311381849546214,1,1,2021.0,32937.8359375,103016.0,0.105655573,,53.6
CY,2022,836106.3965,37375,12,1,22.37073970568562,13.636511152509556,10.528757310692988,3.1077538418165673,1,1,2022.0,33231.05078125,440203.0,0.166,,81.0
CY,2023,1005829.3181,44848,12,1,22.42751779566536,13.821322951330771,10.71103427340457,3.1102886779262007,1,1,2023.0,36623.70703125,724062.0,0.369485,,83.0
CY,2024,1083800.9822,49708,12,1,21.80335121509616,13.895984848369507,10.813921164925885,3.082063683443622,1,1,2024.0,38674.3125,,,,65.0
CY,2025,1117846.38792,51690,12,1,21.62596997330238,13.926914524258864,10.853019618190086,3.0738949060687784,1,1,,,,,,74.0
CZ,2010,1033784.839,88894,12,1,11.629410747632011,13.848737226324099,11.395199927660784,2.4535372986633166,0,0,2010.0,20160.4355077059,5145187.0,17.987,21941000.0,14.0
CZ,2011,1089333.126,86613,12,1,12.577016452495583,13.901076255963424,11.369205198757767,2.5318710572056577,0,0,2011.0,22049.1080788682,4902816.0,16.721,22810000.0,13.0
CZ,2012,994601.861,76800,12,1,12.950545065104167,13.810097796364985,11.248959919135764,2.5611378772292226,1,1,2012.0,20014.0354015165,3594882.0,11.102,25750000.0,7.0
CZ,2013,942697.246,74068,12,1,12.72745647243074,13.756500455983984,11.212738869157706,2.5437615868262777,1,1,2013.0,20260.4954999375,5186676.0,19.929,26332000.0,4.5
CZ,2014,953973.382,72950,12,1,13.0770854283756,13.768391048573665,11.197529553950933,2.5708614946227333,1,1,2014.0,20038.4163180257,5009995.0,30.81553,27166000.0,6.0
CZ,2015,967116.414,75110,12,1,12.876000718945546,13.782074153952712,11.226708984680057,2.5553651692726542,1,1,2015.0,17931.5987670768,3378028.0,26.71765,29604000.0,7.7
CZ,2016,1078215.049,79496,12,1,13.56313586847137,13.890817499424095,11.283461984911199,2.6073555145128964,1,1,2016.0,18753.9686718096,4048658.0,25.294469,32519000.0,5.4
CZ,2017,1236660.3969999999,86831,12,1,14.242153113519365,14.027925076091336,11.371718979745255,2.656206096346081,1,1,2017.0,20913.197632212,5450671.0,27.81465,34701000.0,5.8
CZ,2018,1381671.642,90679,12,1,15.23695278951025,14.138804658841957,11.415081076770628,2.7237235820713295,1,1,2018.0,23705.9329811299,8851291.0,25.22637,36268000.0,15.5
CZ,2019,1439471.65,88901,12,1,16.191849922948,14.17978669450212,11.395278670032656,2.784508024469463,1,1,2019.0,24062.7190013343,5446163.2,22.73254,37202000.0,24.9
CZ,2020,414374.661,35650,12,1,11.623412650771389,12.934525821822382,10.481504425842441,2.45302139597994,1,1,2020.0,23472.8915454417,929888.181,4.323665454,,24.8
CZ,2021,503860.97955,42215,12,1,11.935591129930119,13.130055674778058,10.650530887103601,2.4795247876744577,1,1,2021.0,27696.4619527544,1418032.0,0.47308,,53.6
CZ,2022,831856.55805,62263,12,1,13.360367442140596,13.631415298749786,11.039122627865256,2.592292670884531,1,1,2022.0,28282.2236715857,2176800.0,0.08832,,81.0
CZ,2023,1045478.8938,71332,12,1,14.656520128413614,13.859985609985646,11.175100313572404,2.684885296413242,1,1,2023.0,31761.5944102491,2175763.454,0.040745454,,83.0
CZ,2024,1267002.91592,81045,12,1,15.633326126472948,14.052164760737092,11.302759834946276,2.749404925790816,1,1,2024.0,31827.7552539413,,,,65.0
