year,member_state,verified_tco2,free_allocation_tco2,source
2015,CZ,430429.0,374780.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,DE,9084128.0,5141883.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,DK,532135.0,369186.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,EE,72986.0,32448.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,ES,5766364.0,2924695.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,FI,952946.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,FR,4055404.0,2093822.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,GB,6353083.0,4102328.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,GR,952885.0,607342.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,HR,154276.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,HU,1558359.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,IE,8581599.0,5316988.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,IS,548420.0,194379.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,IT,4553201.0,2637871.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,LT,68290.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,LU,246598.0,87650.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,LV,345271.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,MT,255616.0,177402.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,NL,2344780.0,1242579.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,NO,2246646.0,894012.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,PL,591020.0,230749.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,PT,1280858.0,503819.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,RO,571364.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,SE,2808525.0,1537503.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,SI,88387.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2015,SK,21425.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,AT,1045372.0,557125.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,BE,1463135.0,573882.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,BG,288886.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,CY,36633.0,28.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,CZ,478557.0,374780.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,DE,9437775.0,5146145.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,DK,558122.0,369186.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,EE,15149.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,ES,6397562.0,2924917.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,FI,988867.0,465579.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,FR,4067686.0,2046782.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,GB,6912136.0,4097526.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,GR,1035881.0,607342.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,HR,162454.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,HU,1855247.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,IE,10467469.0,5316894.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,IS,721558.0,194379.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,IT,4637190.0,2637860.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,LT,72695.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,LU,249179.0,87650.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,LV,348737.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,MT,261774.0,177402.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,NL,2598849.0,1242579.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,NO,1592192.0,894035.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,PL,749946.0,230749.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,PT,1239074.0,503817.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,RO,751929.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,SE,2889899.0,1537503.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,SI,135814.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2016,SK,14524.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,AT,849011.0,557491.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,BE,1538462.0,574567.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,BG,251290.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,CY,102553.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,CZ,495045.0,374779.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,DE,9260447.0,5177806.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,DK,604757.0,377946.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,EE,32360.0,19778.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,ES,6783431.0,3469900.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,FI,1051966.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,FR,4178059.0,2047215.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,GB,7324178.0,4097487.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,GR,1083288.0,610686.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,HR,171297.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,HU,2110107.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,IE,11641461.0,5316894.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,IS,816258.0,360819.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,IT,4586597.0,2591236.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,LT,68441.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,LU,251781.0,84252.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,LV,378590.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,MT,263220.0,177624.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,NL,2826984.0,1317375.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,NO,1457639.0,894035.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,PL,943715.0,468493.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,PT,1347447.0,503817.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,RO,919126.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,SE,2961636.0,1542291.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,SI,103758.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2017,SK,14225.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,AT,1246921.0,557491.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,BE,1528280.0,521820.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,BG,257183.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,CY,24490.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,CZ,512962.0,374779.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,DE,9531112.0,3657706.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,DK,547262.0,333797.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,EE,36181.0,19778.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,ES,10755645.0,3453247.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,FI,1170188.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,FR,4237451.0,2047231.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,GB,4148125.0,3614580.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,GR,1156450.0,614280.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,HR,174695.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,HU,2329329.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,IE,12432199.0,5316892.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,IS,823044.0,360819.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,IT,4592206.0,2639677.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
