country,year,month,airfare_index,source
BG,2014,1,100.91,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,2,100.86,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,3,100.31,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,4,100.05,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,5,99.84,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,6,99.43,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,7,98.97,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,8,98.92,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,9,99.06,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,10,98.8,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,11,99.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2014,12,99.56,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,1,99.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,2,100.53,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,3,101.33,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,4,100.77,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,5,100.79,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,6,99.93,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,7,99.69,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,8,98.75,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,9,99.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,10,99.54,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,11,99.76,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2015,12,99.94,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,1,100.15,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,2,100.44,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,3,100.85,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,4,100.12,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,5,99.88,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,6,99.39,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,7,99.85,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,8,100.05,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,9,100.28,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,10,100.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,11,100.29,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2016,12,100.34,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,1,100.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,2,101.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,3,102.15,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,4,100.67,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,5,100.64,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,6,100.4,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,7,99.73,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,8,100.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,9,100.47,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,10,100.83,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,11,100.99,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2017,12,100.21,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,1,100.73,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,2,102.33,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,3,102.82,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,4,102.75,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,5,103.18,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,6,102.74,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,7,103.27,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,8,102.49,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,9,103.03,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,10,104.05,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,11,104.59,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2018,12,104.51,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,1,104.46,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,2,105.38,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,3,105.66,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,4,105.42,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,5,105.5,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,6,105.08,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,7,105.65,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
BG,2019,8,105.84,"Eurostat prc_hicp_midx (CP093, unit I15, Index 2015=100)"
