iso,YEAR,MONTH,CO2_t,flights,n_source,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did
ES,2015,6,1576964.268,83790,2,1,18.82043523093448,14.27101220747668,11.336068947607332,2.9349432598693475,1,1
ES,2015,7,1763778.324,92626,2,1,19.04193556884676,14.38296884098549,11.436325158761433,2.946643682224058,1,1
ES,2015,8,1791963.924,92413,2,1,19.390820815253267,14.39882274061794,11.434022940374186,2.9647998002437523,1,1
ES,2015,9,1610957.027,82954,2,1,19.41988363430335,14.292338987067145,11.32604151627633,2.966297470790816,1,1
ES,2015,10,1562107.081,78857,2,1,19.809364812255094,14.261546160809274,11.275391364608074,2.986154796201199,1,1
ES,2015,11,1253576.076,62747,2,1,19.97826312014917,14.041510885604445,11.046866047086215,2.994644838518231,1,1
ES,2015,12,1279472.156,60690,2,1,21.0820918767507,14.061958172719558,11.013534218829902,3.048423953889657,1,1
ES,2016,1,1240853.452,59302,2,1,20.924310343664633,14.031309968575536,10.990398311229896,3.04091165734564,1,1
ES,2016,2,1193875.898,59403,2,1,20.09790579600357,13.992715629509304,10.992100009125904,3.000615620383399,1,1
ES,2016,3,1401894.2580000001,69707,2,1,20.111240736224484,14.153334921478349,11.152056022121888,3.001278899356461,1,1
ES,2016,4,1521043.309,76686,2,1,19.834693542497977,14.234907044866295,11.247474441359769,2.987432603506526,1,1
ES,2016,5,1665683.972,86023,2,1,19.36323973820955,14.325746391037923,11.36236998133991,2.963376409698012,1,1
ES,2016,6,1754014.5899999999,89452,2,1,19.608444640701155,14.377417770009659,11.401457447546608,2.9759603224630506,1,1
ES,2016,7,1992575.429,99398,2,1,20.04643382160607,14.5049385453917,11.506887271717895,2.998051273673806,1,1
ES,2016,8,1989948.6060000001,98889,2,1,20.123053180839126,14.503619370236521,11.501753287966977,3.001866082269544,1,1
ES,2016,9,1805228.247,90208,2,1,20.01184204283434,14.406197594386237,11.40987339391384,2.9963242004723982,1,1
ES,2016,10,1743490.377,84993,2,1,20.513340828068195,14.371399625724997,11.350324179140088,3.0210754465849097,1,1
ES,2016,11,1367102.584,66346,2,1,20.605651945859584,14.128204156050694,11.102638751582846,3.0255654044678475,1,1
ES,2016,12,1407218.892,64915,2,1,21.67786939844412,14.157125897556982,11.080834000794354,3.0762918967626285,1,1
ES,2017,1,1353732.0720000002,63633,2,1,21.27405704587243,14.11837583399635,11.060887482687326,3.057488351309023,1,1
ES,2017,2,1250676.472,60710,2,1,20.600831362213803,14.039195140494698,11.01386370812448,3.0253314323702174,1,1
ES,2017,3,1470195.1670000001,72332,2,1,20.32565347287508,14.200905716608872,11.18902191050487,3.011883806104002,1,1
ES,2017,4,1676259.3,82548,2,1,20.306479866259632,14.33207526166107,11.321135221314014,3.0109400403470543,1,1
ES,2017,5,1787779.885,90599,2,1,19.732887614653585,14.396485120314063,11.414198454442563,2.9822866658715004,1,1
ES,2017,6,1898709.966,95044,2,1,19.977168111611466,14.45668524827221,11.462095221252904,2.994590027019307,1,1
ES,2017,7,2102707.786,103904,2,1,20.237024426393592,14.558736494007901,11.551222674902572,3.0075138191053274,1,1
ES,2017,8,2084785.591,102134,2,1,20.412258317504456,14.550176573874497,11.534040955574303,3.0161356183001935,1,1
ES,2017,9,1938811.4649999999,95338,2,1,20.33618772158006,14.477585696387493,11.465183750984767,3.0124019454027255,1,1
ES,2017,10,1865482.738,90752,2,1,20.55583059326516,14.439030418317236,11.415885790451744,3.023144627865491,1,1
ES,2017,11,1458611.579,71775,2,1,20.322000404040402,14.192995567934876,11.181291504989264,3.0117040629456104,1,1
ES,2017,12,1475638.69,69782,2,1,21.146408672723624,14.2046014642037,11.153131375837628,3.051470088366072,1,1
ES,2018,1,1409672.9340000001,67950,2,1,20.74573854304636,14.158868273744947,11.12652741957929,3.032340854165657,1,1
ES,2018,2,1304491.096,64599,2,1,20.193673214755645,14.081323557931945,11.075954209774718,3.0053693481572283,1,1
ES,2018,3,1578972.292,77646,2,1,20.335526517785848,14.272284745268742,11.259915314049724,3.0123694312190166,1,1
ES,2018,4,1738890.798,86851,2,1,20.021540316173677,14.368757995504987,11.371949285707743,2.9968087097972456,1,1
ES,2018,5,1858864.7719999999,95027,2,1,19.561438033401032,14.43547652172314,11.461916340728832,2.9735601809943075,1,1
ES,2018,6,1991488.0299999998,99960,2,1,19.92284943977591,14.504392671040957,11.512525384948889,2.9918672860920683,1,1
ES,2018,7,2158411.6580000003,107436,2,1,20.090208663762613,14.58488316564417,11.584650600422156,3.000232565222014,1,1
ES,2018,8,2142895.426,105807,2,1,20.252870093661098,14.577668475318251,11.569371958788578,3.008296516529674,1,1
ES,2018,9,2016220.0869999998,100189,2,1,20.124166195889767,14.51673507235366,11.514813681167466,3.001921391186193,1,1
ES,2018,10,1971281.148,96419,2,1,20.444944958981115,14.494194218275956,11.476458556613569,3.017735661662388,1,1
ES,2018,11,1551855.637,75777,2,1,20.47924353035882,14.254961958002008,11.235550095507087,3.019411862494921,1,1
ES,2018,12,1590893.763,74843,2,1,21.256413599134188,14.279806531363244,11.22314786510039,3.056658666262854,1,1
ES,2019,1,1542883.458,73105,2,1,21.10503328089734,14.249163599004792,11.199652042851538,3.049511556153254,1,1
ES,2019,2,1407392.506,68655,2,1,20.499490292039912,14.157249263788174,11.136849241755852,3.0204000220323217,1,1
ES,2019,3,1638417.796,79846,2,1,20.519722916614484,14.309241575584743,11.287855058462304,3.0213865171224383,1,1
ES,2019,4,1833574.966,90331,2,1,20.298402165369584,14.421778152486144,11.411235980601818,3.0105421718843255,1,1
