iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
DK,2022,3,mainline,37313,43631.400000000016,1.169335084286978
DK,2022,3,other,14282,11372.300000000001,0.7962680296877189
DK,2022,3,regional,19253,11112.7,0.577193164701605
DK,2022,4,business,5630,1570.0000000000007,0.27886323268206054
DK,2022,4,cargo,3568,7756.1,2.1737948430493272
DK,2022,4,lowcost,27726,35288.20000000003,1.2727476015292518
DK,2022,4,mainline,35777,49937.59999999998,1.3958017720882125
DK,2022,4,other,13280,10387.199999999993,0.7821686746987947
DK,2022,4,regional,21332,11419.7,0.535331895743484
DK,2022,5,business,6628,2180.699999999999,0.32901327700663835
DK,2022,5,cargo,3882,8563.1,2.205847501287996
DK,2022,5,lowcost,36715,38052.40000000004,1.0364265286667584
DK,2022,5,mainline,39944,54114.700000000004,1.354764169837773
DK,2022,5,other,17365,10673.2,0.6146386409444284
DK,2022,5,regional,24523,13153.399999999996,0.5363699384251517
DK,2022,6,business,10153,2730.199999999998,0.2689057421451786
DK,2022,6,cargo,3884,8203.300000000007,2.1120751802265723
DK,2022,6,lowcost,30960,40223.099999999984,1.299195736434108
DK,2022,6,mainline,31025,57999.99999999998,1.8694601128122474
DK,2022,6,other,20594,11556.599999999997,0.5611634456637854
DK,2022,6,regional,24381,13349.3,0.5475288134202863
DK,2022,7,business,7709,2368.7999999999993,0.30727720845764683
DK,2022,7,cargo,3786,8231.1,2.1740887480190176
DK,2022,7,lowcost,32751,42524.10000000001,1.298406155537236
DK,2022,7,mainline,30033,55339.49999999994,1.8426231145739667
DK,2022,7,other,20490,11403.19999999999,0.5565251342118102
DK,2022,7,regional,20868,13020.599999999999,0.6239505462909718
DK,2022,8,business,8233,2251.0,0.2734118790234422
DK,2022,8,cargo,3987,8310.100000000002,2.084298971657889
DK,2022,8,lowcost,32056,41070.1,1.2811985275767406
DK,2022,8,mainline,31867,58778.700000000026,1.8445005805378614
DK,2022,8,other,18055,11410.299999999988,0.631974522292993
DK,2022,8,regional,28881,14198.899999999994,0.49163463868979584
DK,2022,9,business,6839,2035.0000000000005,0.29755812253253405
DK,2022,9,cargo,3922,8608.000000000002,2.194798572157063
DK,2022,9,lowcost,31098,39537.000000000015,1.2713679336291728
DK,2022,9,mainline,49262,58506.600000000064,1.1876618894888569
DK,2022,9,other,17583,10194.899999999994,0.5798157311039068
DK,2022,9,regional,25826,14466.300000000003,0.5601448153024086
DK,2022,10,business,5724,1770.4000000000003,0.30929419986023765
DK,2022,10,cargo,3988,8899.800000000003,2.231644934804414
DK,2022,10,lowcost,31578,40231.70000000001,1.2740420545949716
DK,2022,10,mainline,30756,56166.700000000004,1.826203017297438
DK,2022,10,other,17575,11171.199999999995,0.6356301564722615
DK,2022,10,regional,25885,14710.0,0.5682827892601893
DK,2022,11,business,4656,1586.3000000000006,0.34070017182130596
DK,2022,11,cargo,4130,8985.399999999996,2.1756416464891033
DK,2022,11,lowcost,22743,29811.5,1.3107989271424174
DK,2022,11,mainline,28794,54108.899999999994,1.8791727443217334
DK,2022,11,other,12088,8347.599999999999,0.6905691594970217
DK,2022,11,regional,21186,12538.899999999998,0.5918483904465212
DK,2022,12,business,4296,1417.800000000001,0.3300279329608941
DK,2022,12,cargo,4121,8903.899999999994,2.1606163552535778
DK,2022,12,lowcost,29886,32178.59999999998,1.076711503714113
DK,2022,12,mainline,27355,50992.50000000004,1.8641016267592776
DK,2022,12,other,10705,8051.2999999999965,0.7521064922933206
DK,2022,12,regional,19363,10528.2,0.5437277281413004
DK,2023,1,business,4150,1356.1000000000006,0.3267710843373495
DK,2023,1,cargo,3861,8736.099999999999,2.262652162652162
DK,2023,1,lowcost,22734,30611.69999999999,1.3465162311955656
DK,2023,1,mainline,29933,51897.0,1.7337720910032406
DK,2023,1,other,11033,8894.7,0.8061905193510379
DK,2023,1,regional,18292,11288.800000000001,0.6171441067133173
DK,2023,2,business,4129,1356.7999999999993,0.32860256720755615
DK,2023,2,cargo,3416,7708.100000000001,2.256469555035129
DK,2023,2,lowcost,26734,29096.500000000007,1.0883706141991474
DK,2023,2,mainline,41194,45306.100000000006,1.0998227897266593
DK,2023,2,other,12235,8311.799999999994,0.6793461381283199
DK,2023,2,regional,19023,11028.5,0.5797455711507123
DK,2023,3,business,5029,1611.7,0.32048120898787036
DK,2023,3,cargo,3989,9140.000000000004,2.291301077964403
DK,2023,3,lowcost,26255,34336.80000000001,1.3078194629594366
DK,2023,3,mainline,38316,56754.49999999992,1.4812219438354712
DK,2023,3,other,13225,9665.099999999997,0.7308204158790168
DK,2023,3,regional,26606,13059.499999999996,0.4908479290385626
DK,2023,4,business,5111,1621.0,0.317159068675406
DK,2023,4,cargo,3404,8512.100000000002,2.5006169212690956
DK,2023,4,lowcost,33814,37666.399999999994,1.1139291417755957
DK,2023,4,mainline,40815,63648.000000000015,1.5594266813671447
DK,2023,4,other,11129,8151.1,0.7324198041153743
DK,2023,4,regional,23099,13410.9,0.5805835750465388
DK,2023,5,business,5205,2003.0000000000002,0.3848222862632085
DK,2023,5,cargo,3809,9095.900000000001,2.38800210028879
DK,2023,5,lowcost,45347,40112.69999999997,0.8845722980572026
DK,2023,5,mainline,44293,66996.7,1.5125798658930305
DK,2023,5,other,16073,8974.499999999989,0.5583587382567031
DK,2023,5,regional,22731,14131.599999999999,0.6216884430953323
DK,2023,6,business,7306,2256.9,0.30891048453326037
DK,2023,6,cargo,3910,8991.500000000002,2.2996163682864457
DK,2023,6,lowcost,31624,40169.99999999999,1.270237794080445
DK,2023,6,mainline,45790,68880.69999999995,1.5042738589211608
DK,2023,6,other,19091,10700.399999999996,0.5604944738358386
DK,2023,6,regional,22423,13817.699999999999,0.6162288721402132
DK,2023,7,business,7096,1989.5000000000002,0.2803692220969561
